Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.6,0.001979160163306727,0.007761898789686249,0.005,0
gamma,30,0.6,0.0,0.0,0.005,1
gamma,30,0.6,0.0004565020115205213,0.0053702146822379275,0.005,2
gamma,30,0.6,0.0040226370724631534,0.006774502900720458,0.005,3
gamma,30,0.6,-0.007840239656377373,0.008438861961465196,0.005,4
gamma,30,0.6,0.0,0.0,0.005,5
gamma,30,0.6,0.0,0.0,0.005,6
gamma,30,0.6,0.0,0.0,0.005,7
gamma,30,0.6,0.004022842900594392,0.006204294371641128,0.005,8
gamma,30,0.6,0.004722900841814129,0.0070001583296429555,0.005,9
gamma,30,0.6,0.005295936251025427,0.007808435512130083,0.005,10
gamma,30,0.6,0.0,0.0,0.005,11
gamma,30,0.6,-0.0019556605894085663,0.0038491361296304444,0.005,12
gamma,30,0.6,0.005983199268519177,0.007237471980365931,0.005,13
gamma,30,0.6,0.002300465806834591,0.005748929615233849,0.005,14
gamma,30,0.6,0.002039800972699134,0.00581341007415719,0.005,15
gamma,30,0.6,0.003029607783123378,0.005493562143953846,0.005,16
gamma,30,0.6,0.0,0.0,0.005,17
gamma,30,0.6,0.005082752861646337,0.007842814903848803,0.005,18
gamma,30,0.6,0.002738990559801745,0.00651006914789817,0.005,19
gamma,30,0.6,0.005664001858567987,0.008414357883055827,0.005,20
gamma,30,0.6,0.004841483437104056,0.008034269289665762,0.005,21
gamma,30,0.6,0.0,0.0,0.005,22
gamma,30,0.6,0.004494787595831927,0.009667508859022657,0.005,23
gamma,30,0.6,0.00018648472390793598,0.005004851014905471,0.005,24
gamma,30,0.6,0.006591567343362029,0.008872426526189345,0.005,25
gamma,30,0.6,0.0008472298283007992,0.005206275622841473,0.005,26
gamma,30,0.6,-0.0006455263015728651,0.006794317317954636,0.005,27
gamma,30,0.6,0.0,0.0,0.005,28
gamma,30,0.6,0.003925745412270409,0.01032749474337108,0.005,29
gamma,30,0.6,0.0035022077314361983,0.010520930869035154,0.005,30
